src_ip,dst_ip,rtt
103.43.90.19,192.168.182.221,0.002613
103.43.90.19,192.168.182.221,0.172596
103.43.90.19,192.168.182.221,0.001320
103.43.90.19,192.168.182.221,0.000157
103.43.90.19,192.168.182.221,0.012813
103.43.90.19,192.168.182.221,0.135172
103.43.90.19,192.168.182.221,0.002650
103.43.90.19,192.168.182.221,0.001685
103.43.90.19,192.168.182.221,0.002353
103.43.90.19,192.168.182.221,0.369676
103.43.90.19,192.168.182.221,9.662891
103.43.90.19,192.168.182.221,0.126538
104.18.36.155,192.168.182.221,0.275904
104.18.36.155,192.168.182.221,0.042029
104.18.36.155,192.168.182.221,0.007028
104.18.36.155,192.168.182.221,0.312971
104.18.36.155,192.168.182.221,0.165380
104.18.36.155,192.168.182.221,0.206644
104.18.36.155,192.168.182.221,0.815195
104.18.36.155,192.168.182.221,0.007055
104.18.36.155,192.168.182.221,0.002641
104.18.36.155,192.168.182.221,0.019082
104.18.36.155,192.168.182.221,0.002393
104.18.36.155,192.168.182.221,0.000608
104.18.36.155,192.168.182.221,0.168923
104.18.36.155,192.168.182.221,0.002201
104.18.36.155,192.168.182.221,0.067829
104.18.36.155,192.168.182.221,0.119864
104.18.36.155,192.168.182.221,0.084884
104.18.36.155,192.168.182.221,0.004332
104.18.36.155,192.168.182.221,0.319266
104.18.36.155,192.168.182.221,0.238602
104.18.36.155,192.168.182.221,0.005572
104.18.36.155,192.168.182.221,44.400300
106.75.109.179,192.168.182.221,0.269841
106.75.109.179,192.168.182.221,0.223176
106.75.109.179,192.168.182.221,0.000992
106.75.109.179,192.168.182.221,0.206162
106.75.109.179,192.168.182.221,0.001137
106.75.109.179,192.168.182.221,0.447355
106.75.109.179,192.168.182.221,9.495242
106.75.109.179,192.168.182.221,0.920705
106.75.109.179,192.168.182.221,0.00774
106.75.109.179,192.168.182.221,0.389356
106.75.109.179,192.168.182.221,9.041202
106.75.109.179,192.168.182.221,0.034662
106.75.109.179,192.168.182.221,12.389882
130.211.33.34,192.168.182.221,0.039852
130.211.33.34,192.168.182.221,0.160964
130.211.33.34,192.168.182.221,0.002870
130.211.33.34,192.168.182.221,0.000853
130.211.33.34,192.168.182.221,0.002026
130.211.33.34,192.168.182.221,0.006765
130.211.33.34,192.168.182.221,0.008503
130.211.33.34,192.168.182.221,0.000548
130.211.33.34,192.168.182.221,0.000326
130.211.33.34,192.168.182.221,0.008994
130.211.33.34,192.168.182.221,0.001729
130.211.33.34,192.168.182.221,0.010563
130.211.33.34,192.168.182.221,0.258676
130.211.33.34,192.168.182.221,0.000760
130.211.33.34,192.168.182.221,0.000768
130.211.33.34,192.168.182.221,0.001970
130.211.33.34,192.168.182.221,0.000146
130.211.33.34,192.168.182.221,0.043188
130.211.33.34,192.168.182.221,0.137210
138.113.182.113,192.168.182.221,0.121730
138.113.182.113,192.168.182.221,0.002017
138.113.182.113,192.168.182.221,0.106084
138.113.182.113,192.168.182.221,0.000883
138.113.182.113,192.168.182.221,0.143450
138.113.182.113,192.168.182.221,0.164556
138.113.182.113,192.168.182.221,0.139995
138.113.182.113,192.168.182.221,0.087332
138.113.182.113,192.168.182.221,0.118165
138.113.182.113,192.168.182.221,0.002967
138.113.182.113,192.168.182.221,0.003557
138.113.182.113,192.168.182.221,0.148830
138.113.182.113,192.168.182.221,0.019929
138.113.182.113,192.168.182.221,0.024672
138.113.182.113,192.168.182.221,0.010894
138.113.182.113,192.168.182.221,0.029567
138.113.182.113,192.168.182.221,0.017790
138.113.182.113,192.168.182.221,0.013436
138.113.182.113,192.168.182.221,0.047546
138.113.182.113,192.168.182.221,0.039509
138.113.182.113,192.168.182.221,0.121002
138.113.182.113,192.168.182.221,0.080669
138.113.182.113,192.168.182.221,0.000760
138.113.182.113,192.168.182.221,0.484624
138.113.182.113,192.168.182.221,0.000811
138.113.182.113,192.168.182.221,0.323674
138.113.182.113,192.168.182.221,0.169747
138.113.182.113,192.168.182.221,0.133056
138.113.182.113,192.168.182.221,0.411024
138.113.182.113,192.168.182.221,0.065659
138.113.182.113,192.168.182.221,0.202673
138.113.182.113,192.168.182.221,0.015244
138.113.182.113,192.168.182.221,0.406188
138.113.182.113,192.168.182.221,0.207656
138.113.182.113,192.168.182.221,0.048073
138.113.182.113,192.168.182.221,0.001954
138.113.182.113,192.168.182.221,9.448875
138.113.182.113,192.168.182.221,0.006155
138.113.182.113,192.168.182.221,0.010485
138.113.182.113,192.168.182.221,0.110758
138.113.182.113,192.168.182.221,0.050144
138.113.182.113,192.168.182.221,0.250364
138.113.182.113,192.168.182.221,0.044251
138.113.182.113,192.168.182.221,0.023503
138.113.182.113,192.168.182.221,0.222472
138.113.182.113,192.168.182.221,0.078180
138.113.182.113,192.168.182.221,0.010435
138.113.182.113,192.168.182.221,0.473222
138.113.182.113,192.168.182.221,0.104771
